"",gene_symbol,GSM1545535,GSM1545536,GSM1545537,GSM1545538,GSM1545539,GSM1545540,GSM1545541,GSM1545542,GSM1545543,GSM1545544,GSM1545545
ENSMUSG00000021091,Serpina3n,6.27458,4.27895,229.77601,382.34899,255.43051,7.95334,14.09394,670.46499,2.35602,12.15984,17.51796
ENSMUSG00000021094,Dhrs7,14.41027,13.57038,19.60413,17.11123,20.71937,14.92675,17.47017,14.7742,20.98674,15.39169,14.05762
ENSMUSG00000021095,Gsc,0.05317,0.0978,0.13741,0.04575,0.11986,0.02279,0.05747,0.04781,0.03625,0.0404,0.08651
ENSMUSG00000021096,Ppm1a,90.92826,84.47865,136.65638,89.82632,92.50088,94.19805,91.48852,88.23082,86.303,87.94673,89.62275
ENSMUSG00000021097,Clmn,250.53128,105.82449,152.89392,107.60857,144.07671,178.60826,190.86447,131.18278,18.34075,79.9479,206.32265
ENSMUSG00000021098,4930447C04Rik,0.34563,0.07335,0.18322,0.15251,0.15411,0.09116,0.20114,0.11156,0.25373,0.20199,0.30278
ENSMUSG00000021099,Six6,0.4254,0.22006,0.38933,0.13726,0.06849,0.2051,0.24424,0.15938,0.50745,0.28279,0.4758
ENSMUSG00000021102,Glrx5,19.35549,22.61729,21.11567,40.45997,36.93528,25.44384,24.98407,27.46057,35.70284,22.01698,19.11837
ENSMUSG00000021103,Mnat1,23.10429,24.01101,35.88747,20.14611,19.52073,22.28758,17.77187,13.64263,25.95252,28.60188,24.00609
ENSMUSG00000021108,Prkch,41.90144,23.64424,17.19942,10.84321,10.20558,34.55942,35.75925,11.74605,3.15345,21.97658,43.60026
ENSMUSG00000021109,Hif1a,132.56383,420.48608,202.4768,388.58651,213.10134,294.90018,189.35594,558.64645,206.02531,419.73657,208.57187
ENSMUSG00000021111,Papola,112.38414,156.70729,333.20156,231.70309,165.10431,146.49865,143.89902,192.79773,207.22144,153.06851,133.69881
ENSMUSG00000021112,Mpp5,165.34586,138.02663,156.26051,98.56494,74.40139,151.77429,177.3883,107.45163,60.64045,144.46371,153.37948
ENSMUSG00000021113,Snapc1,5.74284,11.9566,26.68086,13.84759,8.64734,9.57135,7.6001,17.32422,19.89935,15.75527,9.51593
ENSMUSG00000021114,Atp6v1d,41.23676,82.1558,103.28813,36.4338,30.59961,70.72545,49.06302,30.40903,45.67063,81.92741,52.98643
ENSMUSG00000021115,Vrk1,11.29956,11.71209,14.84051,29.03723,23.09953,13.91264,12.58542,24.1296,30.95454,11.59426,13.7981
ENSMUSG00000021116,Eif2s1,66.94659,79.31946,107.89144,115.70667,96.06256,94.49431,90.20986,113.23699,159.12229,86.04802,76.30045
ENSMUSG00000021118,Plek2,8.1091,11.22307,20.337,37.40984,29.41809,9.43462,6.89612,27.89088,6.34314,10.58431,8.78061
ENSMUSG00000021120,Pigh,10.12973,17.65372,14.40537,9.76041,13.76725,15.29137,8.14604,6.901,8.30046,23.22892,11.63539
ENSMUSG00000021123,Rdh12,3.37658,0.44012,20.26829,2.45535,3.54455,0.58112,1.72403,1.70533,0.90616,0.72717,2.68176
ENSMUSG00000021124,Vti1b,39.37566,50.68719,62.08739,31.78235,32.89415,53.55399,47.23842,27.15775,46.93926,58.61769,43.25422
ENSMUSG00000021125,Arg2,18.58446,99.63835,9.91658,4.8192,6.78089,84.94575,26.30582,4.41473,2.5735,109.39814,30.45097
ENSMUSG00000021127,Zfp36l1,816.62615,358.72252,375.18097,1738.69586,1742.72204,276.5323,385.65111,1037.23809,432.5299,455.65051,675.63099
ENSMUSG00000021130,Galnt16,2.63213,1.73603,2.2673,32.14837,58.03137,0.85458,3.07452,60.84994,0.5437,1.25234,2.11946
ENSMUSG00000021131,Erh,38.41852,55.50406,53.29301,96.58235,70.12053,60.61856,41.14685,63.36809,111.31311,42.57963,36.98236
ENSMUSG00000021133,Susd6,321.70524,257.6171,396.82338,291.91265,256.25244,275.46122,253.25998,321.57393,156.15007,300.60249,337.12343
ENSMUSG00000021134,Srsf5,656.14575,504.52461,615.60642,694.31624,471.10037,546.51279,653.39294,633.61715,299.79509,673.51762,660.62177
ENSMUSG00000021135,Slc10a1,0.55833,0.26896,0.29773,0.10675,0.44521,0.19371,0.43101,0.09563,0.36247,0.56557,0.82183
ENSMUSG00000021136,Smoc1,20.39239,4.98803,25.16932,1.38781,1.6781,12.84156,18.28908,1.83283,1.0874,5.49415,19.72393
ENSMUSG00000021139,Synj2bp-cox16,4.97181,7.38424,8.42795,11.63624,5.71923,4.99078,3.79287,5.73755,7.82925,5.04977,4.54169
ENSMUSG00000021140,Pcnx,107.35915,185.92639,104.31872,117.62825,133.97388,160.37711,103.16882,118.5761,42.15472,191.40634,116.00783
ENSMUSG00000021143,Pacs2,44.18794,47.26403,52.60595,31.37058,37.84283,52.85893,50.75831,26.9665,68.21598,40.51932,43.98955
ENSMUSG00000021144,Mta1,90.39651,109.17429,84.21074,113.78508,107.65513,97.45687,64.85226,89.28271,82.49711,109.19615,79.32825
ENSMUSG00000021147,Wdr37,30.73481,25.40472,28.76494,27.78668,18.97278,27.89365,33.64732,36.03502,29.50468,32.92448,24.22237
ENSMUSG00000021149,Gtpbp4,79.46917,63.57294,61.21711,118.95505,85.54876,90.08465,97.88179,145.94105,101.38156,83.70493,92.26126
ENSMUSG00000021156,Zmynd11,134.9035,151.64591,146.13782,156.73091,156.35423,133.37223,131.25614,163.45652,125.558,181.26641,140.87901
ENSMUSG00000021171,Esyt2,189.40728,158.90789,184.72773,186.30191,191.52579,168.58113,226.66682,229.91652,157.23747,167.32905,200.52659
ENSMUSG00000021175,Cdca7l,32.11735,30.12379,18.52774,68.61266,76.73018,35.6191,23.71978,44.51385,41.3573,39.83256,35.94426
ENSMUSG00000021176,Efcab11,0.23928,0.36677,0.36643,1.64707,1.01028,0.30765,0.11494,0.98813,3.26219,0.32319,0.38929
ENSMUSG00000021177,Tdp1,10.66147,10.07387,7.9241,17.5535,17.79126,11.55399,10.76082,13.38762,22.9803,9.97834,13.66833
ENSMUSG00000021178,Psmc1,78.29933,107.36491,138.96948,121.95943,101.43932,104.32773,79.21917,86.30237,148.57455,107.90341,77.72784
ENSMUSG00000021179,Nrde2,12.01742,16.52896,19.62704,10.00442,12.50012,12.54531,7.75813,6.18381,25.01011,16.48244,14.40366
ENSMUSG00000021180,Rps6ka5,15.34082,5.23254,10.03109,13.23756,13.49328,9.81064,15.22893,16.44765,10.22152,6.4637,20.15647
ENSMUSG00000021182,Ccdc88c,35.14829,71.93522,23.42877,5.32248,4.31511,64.2534,37.31088,4.3191,15.15105,80.39228,42.12961
ENSMUSG00000021185,9030617O03Rik,3.69562,11.78544,6.57288,1.31156,1.19864,9.6853,4.85602,1.32282,12.46881,12.48302,5.88257
ENSMUSG00000021186,Fbln5,2.0738,2.22505,42.30004,12.84105,15.03439,3.03093,5.22956,16.1289,180.25402,4.56499,3.33058
ENSMUSG00000021187,Tc2n,35.41416,5.62376,199.54534,2.60786,1.74659,13.60499,51.01692,4.35098,7.21306,5.25176,26.6446
ENSMUSG00000021188,Trip11,105.8171,97.90232,128.61777,90.6651,79.82953,118.67337,162.60475,140.04412,78.94495,132.50587,129.07061
ENSMUSG00000021189,Atxn3,21.34953,36.92121,48.73551,30.73006,28.4763,30.13836,30.14179,30.31341,30.91829,36.51991,23.22752
ENSMUSG00000021190,Lgmn,23.26381,45.65026,65.13336,31.15707,29.8633,44.97396,22.35492,29.83528,67.52729,53.9315,28.24501
ENSMUSG00000021192,Golga5,32.8352,37.9726,50.75089,43.70836,48.57923,38.25122,32.12442,33.97907,39.97993,45.24591,39.8804
ENSMUSG00000021193,Pitrm1,71.86523,56.35985,49.19355,101.53881,99.91533,68.95931,67.23716,116.23327,151.14805,60.71839,95.07279
ENSMUSG00000021194,Chga,0.05317,0,0,0.0305,0.08562,0.03418,0.01437,0.06375,0,0.0404,0.04325
ENSMUSG00000021196,Pfkp,136.95072,44.50106,499.67637,185.73764,153.71721,54.16929,127.82245,204.94222,57.77698,42.49883,123.66383
ENSMUSG00000021198,Unc79,0.29246,0.39122,0.45804,5.963,7.10623,0.13673,0.96258,7.17194,0.50745,0.40398,0.4758
ENSMUSG00000021200,Asb2,0.07976,0.02445,1.23671,14.94563,26.42148,0.18231,0.1724,14.18451,0.28997,0.36358,0.12976
ENSMUSG00000021203,Otub2,3.88173,5.5015,12.18388,5.12422,7.56857,5.19588,3.53426,4.68567,9.09788,5.04977,2.81152
ENSMUSG00000021207,Akr1c21,0,0,0,0,0,0,0,0,0.03625,0.0404,0
ENSMUSG00000021208,Ifi27l2b,0.02659,0.02445,0.06871,0.12201,0.23973,0.04558,0.15804,0.255,0,0.0404,0.12976
ENSMUSG00000021209,Ppp4r4,0.74444,0.17116,2.2444,2.3181,1.387,0.39881,1.68093,3.2194,1.92107,0.44438,1.98969
ENSMUSG00000021210,Akr1c6,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021211,Akr1c12,0.13294,1.66268,0.0229,0.01525,0,0.84319,0.18677,0,0,1.25234,0.30278
ENSMUSG00000021213,Akr1c13,0.79762,8.48454,2.70244,0.25926,0.5822,5.67444,1.6522,0.23906,2.31978,8.44321,1.85993
ENSMUSG00000021214,Akr1c18,0.50516,0.51347,5.58809,0.33551,0.5137,0.10255,0.93385,0.66938,12.5413,5.45375,0.86508
ENSMUSG00000021215,Net1,13.61265,47.97312,81.57701,81.75872,101.11397,28.23549,11.7665,72.3888,85.25185,41.65047,17.82074
ENSMUSG00000021216,Tubal3,0.05317,0.07335,0,0.04575,0.13699,0.03418,0.02873,0.09563,0.18123,0.16159,0
ENSMUSG00000021217,Tshz3,0.26587,0.39122,9.0921,2.01309,2.87674,0.10255,0.71835,1.72127,5.07451,0.28279,0.38929
